COLOR_GrasSurface
N045.21.39.320 E005.20.32.783
N045.21.38.788 E005.20.32.796
N045.21.38.276 E005.20.32.785
N045.21.38.063 E005.20.32.769
N045.21.37.909 E005.20.32.736
N045.21.37.791 E005.20.32.699
N045.21.37.673 E005.20.32.633
N045.21.37.503 E005.20.32.537
N045.21.37.356 E005.20.32.406
N045.21.37.246 E005.20.32.311
N045.21.37.188 E005.20.32.203
N045.21.37.160 E005.20.32.097
N045.21.37.142 E005.20.31.938
N045.21.37.147 E005.20.30.740
N045.21.37.257 E005.20.30.738
N045.21.37.259 E005.20.30.530
N045.21.35.848 E005.20.30.530
N045.21.35.845 E005.20.33.280
N045.21.38.697 E005.20.33.298
N045.21.39.276 E005.20.33.292
N045.21.39.551 E005.20.33.315
N045.21.39.791 E005.20.33.369
N045.21.40.022 E005.20.33.432
N045.21.40.252 E005.20.33.509
N045.21.40.365 E005.20.33.563
N045.21.40.415 E005.20.33.607
N045.21.40.465 E005.20.33.679
N045.21.40.518 E005.20.33.813
N045.21.40.548 E005.20.33.932

COLOR_RunwayConcrete
N045.21.44.659 E005.18.37.425
N045.21.44.881 E005.18.37.678
N045.21.45.178 E005.18.38.097
N045.21.45.489 E005.18.38.635
N045.21.45.770 E005.18.39.128
N045.21.45.941 E005.18.39.570
N045.21.46.038 E005.18.39.996
N045.21.45.984 E005.18.59.047
N045.21.45.948 E005.18.59.278
N045.21.45.851 E005.18.59.491
N045.21.45.715 E005.18.59.690
N045.21.45.579 E005.18.59.851
N045.21.45.444 E005.18.59.948
N045.21.45.290 E005.19.00.001
N045.21.43.065 E005.19.00.107
N045.21.42.836 E005.19.00.073
N045.21.42.616 E005.19.00.019
N045.21.42.458 E005.18.59.956
N045.21.42.441 E005.19.01.168
N045.21.42.646 E005.19.01.093
N045.21.42.918 E005.19.01.034
N045.21.45.107 E005.19.01.068
N045.21.45.349 E005.19.01.112
N045.21.45.574 E005.19.01.284
N045.21.45.725 E005.19.01.487
N045.21.45.846 E005.19.01.743
N045.21.45.975 E005.19.02.355
N045.21.45.829 E005.19.56.050
N045.21.45.754 E005.19.56.339
N045.21.45.667 E005.19.56.536
N045.21.45.550 E005.19.56.728
N045.21.45.404 E005.19.56.880
N045.21.45.253 E005.19.56.997
N045.21.45.109 E005.19.57.079
N045.21.44.932 E005.19.57.125
N045.21.43.283 E005.19.57.127
N045.21.43.286 E005.19.58.043
N045.21.44.993 E005.19.58.041
N045.21.45.160 E005.19.58.079
N045.21.45.323 E005.19.58.174
N045.21.45.464 E005.19.58.314
N045.21.45.596 E005.19.58.493
N045.21.45.714 E005.19.58.719
N045.21.45.823 E005.19.59.019
N045.21.45.779 E005.20.15.125
N045.21.45.725 E005.20.15.481
N045.21.45.631 E005.20.15.797
N045.21.45.528 E005.20.16.056
N045.21.45.392 E005.20.16.323
N045.21.45.209 E005.20.16.576
N045.21.44.871 E005.20.16.933
N045.21.44.337 E005.20.17.460
N045.21.44.066 E005.20.17.693
N045.21.43.806 E005.20.17.860
N045.21.43.628 E005.20.17.919
N045.21.43.400 E005.20.17.956
N045.21.43.264 E005.20.17.978
N045.21.43.243 E005.20.19.030
N045.21.44.229 E005.20.19.070
N045.21.44.417 E005.20.19.087
N045.21.44.579 E005.20.19.127
N045.21.44.724 E005.20.19.186
N045.21.44.922 E005.20.19.298
N045.21.45.106 E005.20.19.465
N045.21.45.281 E005.20.19.690
N045.21.45.439 E005.20.19.953
N045.21.45.595 E005.20.20.315
N045.21.45.691 E005.20.20.638
N045.21.45.759 E005.20.20.986
N045.21.45.671 E005.20.51.789
N045.21.45.554 E005.20.52.181
N045.21.45.395 E005.20.52.610
N045.21.45.183 E005.20.52.962
N045.21.44.777 E005.20.53.477
N045.21.44.402 E005.20.53.932
N045.21.44.006 E005.20.54.316
N045.21.43.720 E005.20.54.587
N045.21.43.516 E005.20.54.687
N045.21.43.280 E005.20.54.724
N045.21.43.017 E005.20.54.727
N045.21.42.793 E005.20.54.701
N045.21.42.566 E005.20.54.613
N045.21.42.328 E005.20.54.484
N045.21.42.112 E005.20.54.319
N045.21.41.913 E005.20.54.082
N045.21.41.429 E005.20.54.975
N045.21.41.592 E005.20.55.142
N045.21.41.819 E005.20.55.360
N045.21.42.130 E005.20.55.573
N045.21.42.439 E005.20.55.704
N045.21.42.856 E005.20.55.814
N045.21.43.391 E005.20.55.848
N045.21.47.123 E005.20.55.854
N045.21.47.241 E005.20.16.460
N045.21.47.373 E005.20.16.085
N045.21.47.480 E005.20.15.752
N045.21.47.589 E005.20.15.423
N045.21.47.708 E005.20.15.119
N045.21.47.794 E005.20.14.861
N045.21.47.924 E005.20.14.569
N045.21.49.714 E005.20.12.778
N045.21.49.788 E005.20.12.819
N045.21.49.878 E005.20.12.850
N045.21.49.955 E005.20.12.860
N045.21.49.767 E005.20.12.147
N045.21.47.981 E005.20.13.965
N045.21.47.887 E005.20.14.061
N045.21.47.756 E005.20.14.119
N045.21.47.659 E005.20.14.085
N045.21.47.530 E005.20.13.985
N045.21.47.401 E005.20.13.847
N045.21.47.245 E005.20.13.675
N045.21.47.287 E005.19.59.340
N045.21.47.363 E005.19.59.058
